1,Ruby Olvera,3692 Benson Park Drive,Choctaw,73020,1,OK
2,Robert Hazen,2092 Oakridge Lane,Augusta,30901,2,GA
3,Jessica Martin,3649 Peaceful Lane,Cleveland,44106,3,OH
4,Harold Ortega,4434 Mahlon Street,Van Hiseville,8527,4,NJ
5,Marty Sotelo,1019 Brookside Drive,Jasper,35501,5,AL
6,Shelly Rode,1939 Hickory Ridge Drive,Las Vegas,89119,6,NV
7,Robert Edwards,2784 Alexander Avenue,Walnut Creek,94597,7,CA
8,Alexandra Taylor,3212 Timber Ridge Road,Elk Grove,95624,8,CA
9,Jennifer Steele,2518 Grant Street,Atlanta,75551,9,TX
10,Angie Furlow,4365 Round Table Drive,Cincinnati,45202,10,OH
11,Robert Stines,4350 Twin Oaks Drive,St James,49782,11,MI
12,Harold Jennings,3607 Chestnut Street,Largo,34640,12,FL
13,Mollie Cortez,1567 Centennial Farm Road,Carroll,51401,13,IA
14,Heather Mullins,2223 Goldleaf Lane,Newark,7102,14,NJ
15,Marie Cox,3026 Skips Lane,Camp Verde,86322,15,AZ
16,Alan Thomas,4934 Angus Road,New York,10016,16,NY
17,Corinne Payson,39 Norma Lane,Shreveport,71101,17,LA
18,John Riley,3530 Ingram Street,Dayton,45407,18,OH
19,Dale Beck,2437 Shingleton Road,Grand Rapids,49503,19,MI
20,Freda Craig,3014 Shady Pines Drive,Elizabethtown,42701,20,KY
21,Robert Thoman,2420 Davis Street,Decatur,30030,21,GA
22,Deborah Marshall,40 Beeghley Street,Valley Mills,76689,22,TX
23,Vera Pittman,4495 Gregory Lane,Frankfort,40601,23,KY
24,Henry Russ,4387 Ripple Street,Saginaw,48607,24,MI
25,Jean Couch,583 Linden Avenue,Winter Park,32789,25,FL
26,Gail Goff,187 Friendship Lane,Oakland,94612,26,CA
27,John Mandell,3387 Bryan Street,Greensboro,27406,27,NC
28,Cody Shafer,2910 Dale Avenue,Auburn,98002,28,WA
29,Mark Laughlin,3433 Richland Avenue,Sugar Land,77487,29,TX
30,Richard Ramsey,1716 Whiteman Street,Pleasantville,8232,30,NJ
31,Angelita Stephens,4464 Bungalow Road,Omaha,68114,31,NE
32,Arthur Alexander,1353 Isaacs Creek Road,Concord,62631,32,IL
33,Wayne Walker,4464 Science Center Drive,Eagle,83642,33,ID
34,Scott Montano,3371 Conifer Drive,Seattle,98122,34,WA
35,Caroline Cotto,2590 Langtown Road,Toledo,43609,35,OH
36,Willie Allred,4516 Villa Drive,Elkhart,46516,36,IN
